Date,Value,predicted_value,PCT
2016-09-11,621.65,621.65,
2016-09-12,609.67,609.67,-1.9271294136572057
2016-09-13,610.92,610.92,0.2050289500877524
2016-09-14,608.82,614.6922500457141,0.6174703800357076
2016-09-15,610.38,613.8114179547547,0.8198511801114677
2016-09-16,609.11,612.3680720684978,0.3257105521966293
2016-09-17,607.04,612.1869734728671,0.505158915937524
2016-09-18,611.58,611.4937824698832,0.733688466968109
2016-09-19,610.19,610.8673617140334,-0.11652413191513636
2016-09-20,608.66,610.9863518483533,0.13050883304432995
2016-09-21,598.88,611.0790360138299,0.3974363378289843
2016-09-22,597.42,608.1782483549126,1.5526062574994373
2016-09-23,594.08,600.4886965365622,0.513658152817489
2016-09-24,603.88,596.0202144285977,0.3265914403106723
2016-09-25,601.74,605.2995973768789,0.2350793828043434
2016-09-26,598.98,603.5000460763308,0.2924927836492188
2016-09-27,605.96,601.0128056795212,0.33937788899815935
2016-09-28,605.67,606.5700250432554,0.10067084349716232
2016-09-29,603.85,606.3230803862928,0.10782775872881267
2016-09-30,609.39,604.913147702478,0.17606155543230553
2016-10-01,614.82,609.0146270266537,-0.06159815115875154
2016-10-02,612.98,613.2583048949986,-0.25400850736825253
2016-10-03,611.85,611.9059531607493,-0.1752172728719927
2016-10-04,609.62,611.0905562738999,-0.12412253429764326
2016-10-05,607.18,609.4014227505495,-0.035854671672600064
2016-10-06,612.08,607.5704293547611,0.06430207759827095
2016-10-07,617.21,611.215802010326,-0.14119036558522405
2016-10-08,614.74,615.3643562148611,-0.2990301170005214
2016-10-09,615.65,613.4723790640185,-0.2062044012072649
2016-10-10,617.54,614.3202237644101,-0.21599549022819156
2016-10-11,614.77,616.028478681265,-0.24476492514410977
2016-10-12,635.01,613.7937341355375,-0.15880180627916912
2016-10-13,635.96,631.3920922980052,-0.5697402721208793
2016-10-14,634.02,633.3302365117763,-0.41351083216298445
2016-10-15,637.94,631.7769038548083,-0.35378949326388087
2016-10-16,641.42,636.0280197306472,-0.2997116138434418
2016-10-17,638.97,639.7964678288523,-0.25311530216514055
2016-10-18,636.29,637.4707809021581,-0.23463059264783753
2016-10-19,629.25,634.9237433956328,-0.2147223128396185
2016-10-20,627.72,628.1604932640803,-0.17314370058318837
2016-10-21,631.92,626.7671765064264,-0.15179116382680913
2016-10-22,655.48,630.7664647328853,-0.18254450992446014
2016-10-23,653.25,653.5599806463251,-0.29291806823623734
2016-10-24,651.39,651.4586896664716,-0.2742151295106578
2016-10-25,655.31,649.7259802834137,-0.25545674888872527
2016-10-26,651.45,653.797892846887,-0.23074684547969557
2016-10-27,682.22,650.0084062188192,-0.22129001169403845
2016-10-28,687.68,680.619487353617,-0.2346035950841343
2016-10-29,685.91,686.3358630076991,-0.1954596603508656
2016-10-30,698.0,684.6103931260991,-0.18947192399890228
2016-10-31,702.0,696.9151124484483,-0.15542801598161515
2016-11-01,697.01,701.021511811329,-0.13938578186196698
2016-11-02,733.33,696.000352267504,-0.14485412440222922
2016-11-03,686.17,732.3305519521824,-0.13628898965235609
2016-11-04,683.69,683.7132290228456,-0.3580411526523174
2016-11-05,704.79,681.3765775866129,-0.3383730072674919
2016-11-06,712.0,702.3859446451241,-0.3411023645164975
2016-11-07,709.96,709.7923294418487,-0.31006608962799653
2016-11-08,708.97,707.849033289037,-0.29733600638951463
2016-11-09,720.93,706.9564270726157,-0.2840138408373136
2016-11-10,721.5,719.0634493723123,-0.2589087189723851
2016-11-11,715.45,719.7256392347257,-0.24592664799366729
2016-11-12,703.71,713.6999958842454,-0.2446018751491617
2016-11-13,702.28,701.9896195939723,-0.24447292294094775
2016-11-14,706.46,700.6246288895528,-0.2357138335773713
2016-11-15,710.91,704.832701715177,-0.23034542434434238
2016-11-16,711.73,709.3186482762901,-0.22384714291680566
2016-11-17,736.96,710.18894338482,-0.2165226441459498
2016-11-18,747.52,735.4093006491613,-0.210418387814634
2016-11-19,748.98,746.0944947861549,-0.1906979363555623
2016-11-20,729.06,747.6179243638389,-0.18185741090030177
2016-11-21,738.53,727.5485159265195,-0.20731957225474726
2016-11-22,736.97,737.0764757093452,-0.19681316813869998
2016-11-23,741.63,735.5557493820037,-0.19190070396303036
2016-11-24,737.45,740.2705464278758,-0.183306173175863
2016-11-25,735.64,736.1146111063974,-0.18108195723135295
2016-11-26,733.67,734.3382707416304,-0.17695194094524755
2016-11-27,727.96,732.4007227650849,-0.17300383481879866
2016-11-28,727.31,726.7243690004246,-0.1697388592196538
2016-11-29,732.71,726.1044552632244,-0.16575390641893423
2016-11-30,742.69,731.5160791697626,-0.16294588994791973
2016-12-01,742.05,741.5096371886792,-0.15893075325113212
2016-12-02,772.43,740.8974180339021,-0.1553240301998304
2016-12-03,764.33,771.2825437142386,-0.14855149149584254
2016-12-04,762.97,763.1593842953985,-0.15315579718205136
2016-12-05,754.63,761.8230875003678,-0.15032209649556444
2016-12-06,756.62,753.4775779563657,-0.15271352101483646
2016-12-07,758.99,755.4968212120117,-0.14844688059902045
2016-12-08,769.72,757.895984279632,-0.14414099268343722
2016-12-09,770.02,768.66583377022,-0.1369545068050694
2016-12-10,769.08,768.9907176771126,-0.13366955700987135
2016-12-11,777.0,768.0701222892883,-0.131309839120995
2016-12-12,777.0,776.0294237374459,-0.12491328990400494
2016-12-13,777.99,776.0499416595192,-0.12227263069251437
2016-12-14,774.89,777.0624441078464,-0.1192246548353549
2016-12-15,776.75,773.9714895638007,-0.11853429986182717
2016-12-16,775.88,775.853496365085,-0.11541726873704626
2016-12-17,788.7,774.9984534056309,-0.11361893519217788
2016-12-18,788.4,787.8531806696321,-0.10736900347000218
2016-12-19,788.67,787.568297295853,-0.10549247896334418
2016-12-20,793.09,787.8544957846982,-0.1034024643135605
2016-12-21,824.21,792.2998644422595,-0.09962747705059212
2016-12-22,834.97,823.4589300037002,-0.09112604752427918
2016-12-23,901.31,834.2652772096151,-0.08440097133848508
2016-12-24,891.61,900.5711555028173,-0.08197451456021128
2016-12-25,892.6,890.8399986435622,-0.08636078065945582
2016-12-26,897.33,891.8470017470853,-0.084360100035259
2016-12-27,930.37,896.6052715628166,-0.0807649846972066
2016-12-28,930.34,930.3699992690293,-7.856773852155018e-08
2016-12-29,963.38,929.6850545486719,-0.07039850499044473
2016-12-30,952.15,963.3799995677323,-4.486990713978449e-08
2016-12-31,958.12,951.5177681989672,-0.06640044121543148
2017-01-01,997.72,957.5100236161146,-0.0636638817565019
2017-01-02,1015.97,997.1455093341148,-0.057580349786038584
2017-01-03,1013.42,1015.4258005779038,-0.05356451687512414
